Id,Name,Language,Priority
1,afghanistan,EN,5
2,albania,EN,5
3,algeria,EN,5
4,american samoa,EN,5
5,andorra,EN,5
6,angola,EN,5
7,anguilla,EN,5
8,antigua and barbuda,EN,5
9,argentina,EN,5
10,armenia,EN,5
11,aruba,EN,5
12,australia,EN,5
13,austria,EN,3
14,azerbaijan,EN,5
15,bahrain,EN,5
16,bangladesh,EN,5
17,barbados,EN,5
18,belarus,EN,3
19,belgium,EN,5
20,belize,EN,5
21,benin,EN,5
22,bermuda,EN,5
23,bhutan,EN,5
24,bolivia,EN,5
25,bosnia and herzegovina,EN,5
26,botswana,EN,5
27,brazil,EN,5
28,british virgin islands,EN,5
29,brunei,EN,5
30,bulgaria,EN,5
31,burkina faso,EN,5
32,burundi,EN,5
33,cabo verde,EN,5
34,cambodia,EN,5
35,cameroon,EN,5
36,canada,EN,5
37,cayman islands,EN,5
38,central african republic,EN,5
39,chad,EN,5
40,chile,EN,5
41,china,EN,5
42,christmas island,EN,5
43,colombia,EN,5
44,comoros,EN,5
45,congo (brazzaville),EN,5
46,congo (kinshasa),EN,5
47,cook islands,EN,5
48,costa rica,EN,5
49,croatia,EN,5
50,cuba,EN,5
51,curaçao,EN,5
52,cyprus,EN,5
53,czechia,EN,1
54,côte d'ivoire,EN,5
55,denmark,EN,5
56,djibouti,EN,5
57,dominica,EN,5
58,dominican republic,EN,5
59,ecuador,EN,5
60,egypt,EN,5
61,el salvador,EN,5
62,equatorial guinea,EN,5
63,eritrea,EN,5
64,estonia,EN,5
65,ethiopia,EN,5
66,falkland islands (islas malvinas),EN,5
67,faroe islands,EN,5
68,federated states of micronesia,EN,5
69,fiji,EN,5
70,finland,EN,5
71,france,EN,5
72,french guiana,EN,5
73,french polynesia,EN,5
74,gabon,EN,5
75,gaza strip,EN,5
76,georgia,EN,5
77,germany,EN,2
78,ghana,EN,5
79,gibraltar,EN,5
80,greece,EN,5
81,greenland,EN,5
82,grenada,EN,5
83,guadeloupe,EN,5
84,guam,EN,5
85,guatemala,EN,5
86,guinea,EN,5
87,guinea-bissau,EN,5
88,guyana,EN,5
89,haiti,EN,5
90,honduras,EN,5
91,hong kong,EN,5
92,hungary,EN,5
93,iceland,EN,5
94,india,EN,5
95,indonesia,EN,5
96,iran,EN,5
97,iraq,EN,5
98,ireland,EN,3
99,isle of man,EN,5
100,israel,EN,5
